,mu,quantized_mu,changed,timestamp,average_util,parameter,delta_latency
0,0.62254158015896,0.66,0,2022-12-13 22:02:29.706839,0.6170899999999999,0.03,0.16697044462328536
0,0.6453834172959932,0.66,0,2022-12-13 22:02:31.733783,0.640053,0.03,0.1635468910173854
0,0.6647836884405444,0.66,0,2022-12-13 22:02:35.761528,0.649022,0.03,0.42224986246785073
0,0.7457519932429583,0.66,0,2022-12-13 22:02:37.831843,0.7258221,0.03,0.5094225047138536
0,0.6629125694624816,0.66,0,2022-12-13 22:02:39.877627,0.6490564000000001,0.03,0.3797180219568765
0,0.664768546073894,0.66,0,2022-12-13 22:02:43.907144,0.6585596,0.03,0.18810883575129508
0,0.5923397766535089,0.66,0,2022-12-13 22:02:45.933152,0.5865332000000001,0.03,0.1769342002780001
0,0.5221060097896036,0.66,0,2022-12-13 22:02:52.005308,0.52913051,0.03,-0.2667689600289955
0,0.49315721495426396,0.33,1,2022-12-13 22:02:54.071070,0.5007111099999999,0.03,-0.2900802812230118
0,0.5924534933649771,0.66,1,2022-12-13 22:02:58.124295,0.5894949099999999,0.03,0.09405434202391295
0,0.6490419744322284,0.66,0,2022-12-13 22:03:00.154992,0.6341076999999999,0.03,0.4040034722660404
0,0.6250231673756298,0.66,0,2022-12-13 22:03:02.180691,0.6035858,0.03,0.5391675184122428
0,0.7078700166144484,0.66,0,2022-12-13 22:03:08.250039,0.7023094999999999,0.03,0.1700385568433871
0,0.6299197035284438,0.66,0,2022-12-13 22:03:10.300748,0.6239055,0.03,0.18271602143931925
