,Alpha,Cost,ColdStarts,Cores,Mem
201,0.2,1.6422645149230958e-06,3,1000,500000
202,0.2,2.7462645149230958e-06,2,1000,500000
203,0.2,1.8610116119384766e-06,2,1000,500000
204,0.2,3.311517417907715e-06,1,1000,500000
205,0.2,1.6422645149230958e-06,2,1000,500000
206,0.2,2.7462645149230958e-06,1,1000,500000
207,0.2,1.8610116119384766e-06,1,1000,500000
208,0.2,2.655517417907715e-06,3,1000,500000
209,0.2,2.372770320892334e-06,2,1000,500000
210,0.2,2.655517417907715e-06,2,1000,500000
211,0.2,1.7702645149230957e-06,2,1000,500000
212,0.2,2.655517417907715e-06,2,1000,500000
213,0.2,2.372770320892334e-06,1,1000,500000
214,0.2,2.655517417907715e-06,1,1000,500000
215,0.2,1.7702645149230957e-06,1,1000,500000
216,0.2,1.9250116119384766e-06,3,1000,500000
217,0.2,1.6422645149230958e-06,2,1000,500000
218,0.2,1.9250116119384766e-06,2,1000,500000
219,0.2,1.0397587089538575e-06,2,1000,500000
220,0.2,1.9250116119384766e-06,2,1000,500000
221,0.2,1.6422645149230958e-06,1,1000,500000
222,0.2,1.9250116119384766e-06,1,1000,500000
223,0.2,1.0397587089538575e-06,1,1000,500000
224,0.2,3.540770320892334e-06,2,1000,500000
225,0.2,2.6927703208923337e-06,2,1000,500000
226,0.2,2.9382645149230958e-06,2,1000,500000
227,0.2,2.0530116119384765e-06,2,1000,500000
228,0.2,2.756770320892334e-06,2,1000,500000
229,0.2,2.6927703208923337e-06,1,1000,500000
230,0.2,2.9382645149230958e-06,1,1000,500000
231,0.2,2.0530116119384765e-06,1,1000,500000
232,0.2,2.026264514923096e-06,3,1000,500000
233,0.2,1.999517417907715e-06,2,1000,500000
234,0.2,2.245011611938477e-06,2,1000,500000
235,0.2,1.3597587089538576e-06,2,1000,500000
236,0.2,2.026264514923096e-06,2,1000,500000
237,0.2,1.999517417907715e-06,1,1000,500000
