,Alpha,Cost,ColdStarts,initialDecision,initialDecisionIndex
212,0.15,5.012529029846192e-07,3,"[0, 1, 0, 1, 0, 0]",20
213,0.15,5.012529029846192e-07,2,"[0, 1, 0, 1, 0, 1]",21
214,0.15,5.012529029846192e-07,2,"[0, 1, 0, 1, 1, 0]",22
215,0.15,5.012529029846192e-07,1,"[0, 1, 0, 1, 1, 1]",23
216,0.15,5.012529029846192e-07,3,"[0, 1, 1, 0, 0, 0]",24
217,0.15,5.012529029846192e-07,2,"[0, 1, 1, 0, 0, 1]",25
218,0.15,5.012529029846192e-07,2,"[0, 1, 1, 0, 1, 0]",26
219,0.15,5.012529029846192e-07,1,"[0, 1, 1, 0, 1, 1]",27
220,0.15,5.012529029846192e-07,2,"[0, 1, 1, 1, 0, 0]",28
221,0.15,5.012529029846192e-07,1,"[0, 1, 1, 1, 0, 1]",29
222,0.15,5.012529029846192e-07,1,"[0, 1, 1, 1, 1, 0]",30
223,0.15,5.012529029846192e-07,0,"[0, 1, 1, 1, 1, 1]",31
224,0.15,5.012529029846192e-07,6,"[1, 0, 0, 0, 0, 0]",32
225,0.15,5.012529029846192e-07,5,"[1, 0, 0, 0, 0, 1]",33
226,0.15,5.012529029846192e-07,5,"[1, 0, 0, 0, 1, 0]",34
227,0.15,5.012529029846192e-07,4,"[1, 0, 0, 0, 1, 1]",35
228,0.15,5.012529029846192e-07,5,"[1, 0, 0, 1, 0, 0]",36
229,0.15,5.012529029846192e-07,4,"[1, 0, 0, 1, 0, 1]",37
230,0.15,5.012529029846192e-07,4,"[1, 0, 0, 1, 1, 0]",38
231,0.15,5.012529029846192e-07,3,"[1, 0, 0, 1, 1, 1]",39
232,0.15,5.012529029846192e-07,5,"[1, 0, 1, 0, 0, 0]",40
233,0.15,5.012529029846192e-07,4,"[1, 0, 1, 0, 0, 1]",41
234,0.15,5.012529029846192e-07,4,"[1, 0, 1, 0, 1, 0]",42
235,0.15,5.012529029846192e-07,3,"[1, 0, 1, 0, 1, 1]",43
236,0.15,5.012529029846192e-07,4,"[1, 0, 1, 1, 0, 0]",44
237,0.15,5.012529029846192e-07,3,"[1, 0, 1, 1, 0, 1]",45
238,0.15,5.012529029846192e-07,3,"[1, 0, 1, 1, 1, 0]",46
239,0.15,5.012529029846192e-07,2,"[1, 0, 1, 1, 1, 1]",47
240,0.15,5.012529029846192e-07,5,"[1, 1, 0, 0, 0, 0]",48
241,0.15,5.012529029846192e-07,4,"[1, 1, 0, 0, 0, 1]",49
